id_individual,Sex_1_0,Haplotype,Number_sightings,Av_water_depth,Av_group_size,Sponger,Demons_sponging_forage,Sp_Order_acquisition,Mum_known,Not_weaned
BNG,0,NA,1,0.7,2,no,NA,NA,yes,0
BNJ,0,NA,2,15.05,4.5,no,NA,NA,yes,0
BNN,-0.5,D,16,5.41875,1.75,no,NA,NA,no,0
BNO,0.5,E,14,12.45,3.428571429,yes,no,71,no,0
BOA,0,NA,6,6.8,4.5,no,NA,NA,yes,0
BOB,0,NA,3,14.16666667,4,no,NA,NA,yes,0
BOE,0,NA,3,7.733333333,2.333333333,no,NA,NA,yes,0
BOG,0,NA,7,11.07142857,11,no,NA,NA,yes,0
BON,-0.5,NA,11,12.06363636,3.909090909,yes,yes,36,no,0
BOO,-0.5,H,26,2.783333333,3.769230769,no,NA,NA,no,0
BOR,0.5,H,50,5.06122449,7.08,no,NA,NA,no,0
BOS,0,NA,5,6.4,8.4,no,NA,NA,no,0
BOT,0,NA,1,7.7,2,no,NA,NA,no,0
BOU,0,NA,1,8.5,2,no,NA,NA,yes,0
BOV,0,NA,15,5.726666667,4.466666667,no,NA,NA,yes,0
BOW,-0.5,F,9,9.911111111,3,no,NA,NA,no,0
BOZ,0,NA,1,7,10,no,NA,NA,no,0
BRA,-0.5,E,121,3.979338843,4.280991736,no,NA,NA,yes,0
BRB,0,NA,1,13.7,2,no,NA,NA,yes,0
BRC,-0.5,NA,3,9.366666667,2,no,NA,NA,no,0
BRD,-0.5,NA,3,7.966666667,1.666666667,no,NA,NA,no,0
BRE,0,NA,2,9,8.5,no,NA,NA,no,0
BRF,0,NA,14,13.47142857,2.214285714,no,NA,NA,yes,0
BRG,-0.5,F,2,6.8,2,no,NA,NA,no,0
BRH,0,NA,25,10.616,3.56,no,NA,NA,no,0
BRI,-0.5,NA,5,8.76,5.4,no,NA,NA,no,0
BRK,0,NA,1,5.3,3,no,NA,NA,no,0
BRL,0,NA,1,12.8,2,no,NA,NA,yes,0
BRN,0,NA,4,7.55,4.25,yes,yes,28,no,0
BRO,0,NA,9,7.5,4.888888889,no,NA,NA,no,0
BRR,0.5,H,10,3.51,7.1,no,NA,NA,no,0
BRT,0,NA,1,5.6,2,no,NA,NA,no,0
BRU,-0.5,NA,15,5.186666667,2.933333333,no,NA,NA,no,0
BRW,0,NA,6,6.666666667,6,no,NA,NA,yes,0
BRY,0,NA,1,5.1,7,no,NA,NA,no,0
BRZ,0.5,E,11,12.63636364,3.181818182,no,NA,NA,yes,0
BSH,0,NA,13,11.47692308,3.923076923,yes,yes,56,no,0
BTI,-0.5,NA,2,6.25,3.5,no,NA,NA,no,0
BTL,0,NA,1,3.5,11,no,NA,NA,yes,0
BTS,0,NA,1,7.5,5,no,NA,NA,no,0
BTY,0,NA,1,9.3,3,no,NA,NA,no,0
BUA,0,NA,2,11.05,5.5,no,NA,NA,no,0
BUB,0,NA,3,13.26666667,8.333333333,no,NA,NA,yes,0
BUC,-0.5,NA,37,13.44054054,2.486486486,yes,yes,57,no,0
BUE,-0.5,H,3,6.466666667,3.666666667,no,NA,NA,no,0
BUF,0.5,H,26,6.719230769,7.115384615,no,NA,NA,no,0
BUG,-0.5,H,2,4.75,8.5,no,NA,NA,no,0
BUN,-0.5,E,13,13.13846154,2.846153846,yes,yes,18,no,0
BUR,0,NA,1,10.1,1,no,NA,NA,no,0
BUT,0.5,H,60,8.291525424,5.933333333,no,NA,NA,no,0
CAB,0.5,F,21,7.39047619,4.523809524,no,NA,NA,no,0
CAC,-0.5,NA,23,5.795652174,4.913043478,no,NA,NA,no,0
CAI,0.5,NA,97,6.595876289,5.896907216,no,NA,NA,no,0
CAK,-0.5,D,4,8.8,2.75,no,NA,NA,no,0
CAL,0,NA,7,9.957142857,3.428571429,no,NA,NA,no,0
CAN,0,NA,14,10.4,5.857142857,no,NA,NA,yes,0
CAO,-0.5,E,104,3.746153846,4.692307692,no,NA,NA,no,0
CAP,0,NA,3,7.9,6.333333333,no,NA,NA,no,0
CAR,0,NA,1,7.8,6,no,NA,NA,yes,0
CAS,0,NA,2,13.2,5.5,no,NA,NA,no,0
CAT,0,NA,2,12.05,5,no,NA,NA,no,0
CCD,0,NA,16,8.6875,2.0625,no,NA,NA,yes,1
CCO,0,NA,4,8.075,5,no,NA,NA,yes,0
CEA,0,NA,6,10.38333333,4,no,NA,NA,no,0
CEL,-0.5,F,24,12.95416667,6.541666667,no,NA,NA,no,0
CER,0,NA,7,13.21428571,4.571428571,no,NA,NA,yes,0
CES,0,NA,6,8.066666667,2.666666667,no,NA,NA,yes,0
CGH,-0.5,NA,3,1.6,7.333333333,no,NA,NA,no,0
CHA,-0.5,NA,15,8.766666667,5.066666667,no,NA,NA,no,0
CHE,0,NA,1,9.8,8,no,NA,NA,no,0
CHI,-0.5,NA,3,10.76666667,8,no,NA,NA,no,0
CHK,-0.5,H,4,3.775,4.75,no,NA,NA,no,0
CHL,0,NA,3,7.9,3.333333333,no,NA,NA,no,0
CHO,0,NA,8,8.9,11.5,no,NA,NA,no,0
CHP,0,NA,9,4.588888889,5,no,NA,NA,no,0
CHR,0,NA,0,NA,NA,no,NA,NA,no,0
CHS,0,NA,2,2.8,4,no,NA,NA,yes,0
CHY,-0.5,NA,8,7.7875,7.375,no,NA,NA,no,0
CHZ,0,NA,5,7.78,4.2,no,NA,NA,yes,0
CIL,0,NA,16,12.825,2.3125,no,NA,NA,yes,1
CIN,-0.5,NA,1,15.7,2,no,NA,NA,no,0
CIS,0,NA,3,14.46666667,1.666666667,no,NA,NA,yes,0
